married,union,employed,voted,previousdem,female,age,country,education,lrself,gdpgrowth,inflation,cname,satisdem
0,0,0,1,1,1,57,"0360",3,8,3.77,5.09,"AUSTRALIA (2007)",4
0,1,0,1,1,1,18,"0360",3,3,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,0,28,"0360",3,3,3.77,5.09,"AUSTRALIA (2007)",3
0,1,0,1,1,1,64,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",4
1,1,1,1,1,1,36,"0360",6,7,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,62,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,0,32,"0360",6,4,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,66,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,74,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,81,"0360",6,7,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,38,"0360",3,6,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,76,"0360",8,2,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,75,"0360",8,8,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,1,76,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,54,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,0,57,"0360",8,8,3.77,5.09,"AUSTRALIA (2007)",4
1,1,0,1,1,0,75,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,1,1,1,1,0,35,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,1,0,1,1,0,67,"0360",3,7,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,70,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,1,48,"0360",8,6,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,45,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",4
0,0,1,1,1,1,56,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,42,"0360",6,4,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,1,47,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
0,1,0,1,1,1,79,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,0,81,"0360",4,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,79,"0360",6,2,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,47,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",4
0,1,1,1,1,0,35,"0360",3,3,3.77,5.09,"AUSTRALIA (2007)",2
1,0,1,1,1,1,39,"0360",8,6,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,0,58,"0360",3,6,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,0,28,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,45,"0360",6,8,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,68,"0360",3,7,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,1,47,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,0,35,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,66,"0360",6,6,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,1,48,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,41,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,0,66,"0360",3,8,3.77,5.09,"AUSTRALIA (2007)",4
1,1,1,1,1,0,46,"0360",6,6,3.77,5.09,"AUSTRALIA (2007)",4
0,0,1,1,1,1,21,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,0,46,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",2
0,0,1,1,1,1,41,"0360",8,4,3.77,5.09,"AUSTRALIA (2007)",2
0,0,0,1,1,1,82,"0360",4,10,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,0,28,"0360",8,2,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,40,"0360",8,2,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,0,56,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",2
1,0,0,1,1,1,55,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,0,38,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,1,1,1,1,0,54,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
0,1,0,1,1,1,71,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,68,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",2
1,1,0,1,1,0,80,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,62,"0360",3,8,3.77,5.09,"AUSTRALIA (2007)",4
1,0,1,1,1,1,56,"0360",3,10,3.77,5.09,"AUSTRALIA (2007)",4
0,1,0,1,1,1,87,"0360",6,10,3.77,5.09,"AUSTRALIA (2007)",3
0,0,1,1,1,1,31,"0360",8,3,3.77,5.09,"AUSTRALIA (2007)",2
0,0,1,1,1,1,20,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",4
0,0,0,1,1,1,71,"0360",8,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,0,1,1,0,63,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",2
1,0,0,1,1,1,52,"0360",6,3,3.77,5.09,"AUSTRALIA (2007)",2
0,1,1,1,1,1,68,"0360",6,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,40,"0360",3,8,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,50,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",2
1,0,0,1,1,1,71,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,1,68,"0360",3,8,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,61,"0360",3,5,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,0,50,"0360",3,6,3.77,5.09,"AUSTRALIA (2007)",3
0,0,0,1,1,1,100,"0360",3,10,3.77,5.09,"AUSTRALIA (2007)",4
0,0,1,1,1,0,46,"0360",3,4,3.77,5.09,"AUSTRALIA (2007)",3
1,0,1,1,1,1,59,"0360",8,9,3.77,5.09,"AUSTRALIA (2007)",4
1,0,0,1,1,0,75,"0360",8,6,3.77,5.09,"AUSTRALIA (2007)",4
